item_code,units,sku,description,mrp,cost,weight_division_factor,is_active,platform
100051168,PCS,1101244850,Figaro Plain Black Olives,0.00,0.00,,True,pasons
100051168,PCS,8410159047368,Figaro Plain Green Olives,0.00,0.00,,True,pasons
100099627,PCS,100099627,African Brown Beans,0.00,0.00,,True,pasons
100099627,PCS,18150409059,African White Beans m,0.00,0.00,,True,pasons
100120780,OUT,6281006584860,Lux Soap Romantic Hibiscus,0.00,0.00,,True,pasons
100120780,OUT,6281006593442,Lux Soap Romantic Hibiscus,0.00,0.00,,True,pasons
100123781,PCS,5555470092024,Wave Hf X20,0.00,0.00,,True,pasons
100123781,PCS,5555470092025,Wave Headphone X25,0.00,0.00,,True,pasons
100135393,PCS,3792010341484,Sultan King Perfume New Edition,0.00,0.00,,True,pasons
100135393,PCS,6691106081860,Victorious  Perfume New Edition,0.00,0.00,,True,pasons
100168205,PCS,8700216311588,Downy Concentrate Vanilla&amp;Musk,0.00,0.00,,True,pasons
100168205,PCS,8700216379656,Downy Vanilla &amp; Musk,0.00,0.00,,True,pasons
